code;description;type;manufacturer;standard
P0106; Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem ;common;common;ESOBD
P0107; Manifold Absolute Pressure/Barometric Pressure Circuit Low Input ;common;common;ESOBD
P0108; Manifold Absolute Pressure/Barometric Pressure Circuit High Input ;common;common;ESOBD
P0109; Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent ;common;common;ESOBD
P0110; Intake Air Temperature Circuit Malfunction ;common;common;ESOBD
P0111; Intake Air Temperature Circuit Range/Performance Problem ;common;common;ESOBD
P0112; Intake Air Temperature Circuit Low Input ;common;common;ESOBD
P0113; Intake Air Temperature Circuit High Input ;common;common;ESOBD
P0114; Intake Air Temperature Circuit Intermittent ;common;common;ESOBD
P0115; Engine Coolant Temperature Circuit Malfunction ;common;common;ESOBD
P0116; Engine Coolant Temperature Circuit Range/Performance Problem ;common;common;ESOBD
P0117; Engine Coolant Temperature Circuit Low Input ;common;common;ESOBD
P0118; Engine Coolant Temperature Circuit High Input ;common;common;ESOBD
P0119; Engine Coolant Temperature Circuit Intermittent ;common;common;ESOBD
P0120; Throttle Position Sensor/Switch A Circuit Malfunction ;common;common;ESOBD
P0121; Throttle Position Sensor/Switch A Circuit Range/Performance Problem ;common;common;ESOBD
P0122; Throttle Position Sensor/Switch A Circuit Low Input ;common;common;ESOBD
P0123; Throttle Position Sensor/Switch A Circuit High Input ;common;common;ESOBD
P0124; Throttle Position Sensor/Switch A Circuit Intermittent ;common;common;ESOBD
P0125; Insufficient Coolant Temperature for Closed Loop Fuel Control ;common;common;ESOBD
P0126; Insufficient Coolant Temperature for Stable Operation ;common;common;ESOBD
P0128; Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature) ;common;common;ESOBD
P0130; 02 Sensor Circuit Malfunction (Bank I Sensor 1) ;common;common;ESOBD
P0131; 02 Sensor Circuit Low Voltage (Bank I Sensor I) ;common;common;ESOBD
P0132; 02 Sensor Circuit High Voltage (Bank I Sensor 1) ;common;common;ESOBD
P0133; 02 Sensor Circuit Slow Response (Bank 1 Sensor 1) ;common;common;ESOBD
P0134; 02 Sensor Circuit No Activity Detected (Bank I Sensor 1) ;common;common;ESOBD
P0135; 02 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1) ;common;common;ESOBD
P0136; 02 Sensor Circuit Malfunction (Bank I Sensor 2) ;common;common;ESOBD
P0137; 02 Sensor Circuit Low Voltage (Bank I Sensor 2) ;common;common;ESOBD
P0138; 02 Sensor Circuit High Voltage (Bank I Sensor 2) ;common;common;ESOBD
P0139; 02 Sensor Circuit Slow Response (Bank 1 Sensor 2) ;common;common;ESOBD
P0140; 02 Sensor Circuit No Activity Detected (Bank 1 Sensor 2) ;common;common;ESOBD
P0141; 02 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2) ;common;common;ESOBD
P0142; 02 Sensor Circuit Malfunction (Bank I Sensor 3) ;common;common;ESOBD
P0143; 02 Sensor Circuit Low Voltage (Bank I Sensor 3) ;common;common;ESOBD
P0144; 02 Sensor Circuit High Voltage (Bank I Sensor 3) ;common;common;ESOBD
P0145; 02 Sensor Circuit Slow Response (Bank 1 Sensor 3) ;common;common;ESOBD
P0146; 02 Sensor Circuit No Activity Detected (Bank I Sensor 3) ;common;common;ESOBD
P0147; 02 Sensor Heater Circuit Malfunction (Bank I Sensor 3) ;common;common;ESOBD
P0150; 02 Sensor Circuit Malfunction (Bank 2 Sensor I) ;common;common;ESOBD
P0151; 02 Sensor Circuit Low Voltage (Bank 2 Sensor I) ;common;common;ESOBD
P0152; 02 Sensor Circuit High Voltage (Bank 2 Sensor 1) ;common;common;ESOBD
P0153; 02 Sensor Circuit Slow Response (Bank 2 Sensor 1) ;common;common;ESOBD
P0154; 02 Sensor Circuit No Activity Detected (Bank 2 Sensor 1) ;common;common;ESOBD
P0155; 02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1) ;common;common;ESOBD
P0156; 02 Sensor Circuit Malfunction (Bank 2 Sensor 2) ;common;common;ESOBD
P0157; 02 Sensor Circuit Low Voltage (Bank 2 Sensor 2) ;common;common;ESOBD
P0158; 02 Sensor Circuit High Voltage (Bank 2 Sensor 2) ;common;common;ESOBD
P0159; 02 Sensor Circuit Slow Response (Bank 2 Sensor 2) ;common;common;ESOBD
P0160; 02 Sensor Circuit No Activity Detected (Bank 2 Sensor 2) ;common;common;ESOBD
P0161; 02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2) ;common;common;ESOBD
P0162; 02 Sensor Circuit Malfunction (Bank 2 Sensor 3) ;common;common;ESOBD
P0163; 02 Sensor Circuit Low Voltage (Bank 2 Sensor 3) ;common;common;ESOBD
P0164; 02 Sensor Circuit High Voltage (Bank 2 Sensor 3) ;common;common;ESOBD
P0165; 02 Sensor Circuit Slow Response (Bank 2 Sensor 3) ;common;common;ESOBD
P0166; 02 Sensor Circuit No Activity Detected (Bank 2 Sensor 3) ;common;common;ESOBD
P0167; 02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3) ;common;common;ESOBD
P0170; Fuel Trim Malfunction (Bank 1) ;common;common;ESOBD
P0171; System too Lean (Bank 1) ;common;common;ESOBD
P0172; System too Rich (Bank 1) ;common;common;ESOBD
P0173; Fuel Trim Malfunction (Bank 2) ;common;common;ESOBD
P0174; System too Lean (Bank 2) ;common;common;ESOBD
P0175; System too Rich (Bank 2) ;common;common;ESOBD
P0176; Fuel Composition Sensor Circuit Malfunction ;common;common;ESOBD
P0177; Fuel Composition Sensor Circuit Range/Performance ;common;common;ESOBD
P0178; Fuel Composition Sensor Circuit Low Input ;common;common;ESOBD
P0179; Fuel Composition Sensor Circuit High Input ;common;common;ESOBD
P0180; Fuel Temperature Sensor A Circuit Malfunction ;common;common;ESOBD
P0181; Fuel Temperature Sensor A Circuit Range/Performance ;common;common;ESOBD
P0182; Fuel Temperature Sensor A Circuit Low Input ;common;common;ESOBD
P0183; Fuel Temperature Sensor A Circuit High Input ;common;common;ESOBD
P0184; Fuel Temperature Sensor A Circuit Intermittent ;common;common;ESOBD
P0185; Fuel Temperature Sensor B Circuit Malfunction ;common;common;ESOBD
P0186; Fuel Temperature Sensor B Circuit Range/Performance ;common;common;ESOBD
P0187; Fuel Temperature Sensor B Circuit Low Input ;common;common;ESOBD
P0188; Fuel Temperature Sensor B Circuit High Input ;common;common;ESOBD
P0189; Fuel Temperature Sensor B Circuit Intermittent ;common;common;ESOBD
P0190; Fuel Rail Pressure Sensor Circuit Malfunction ;common;common;ESOBD
P0191; Fuel Rail Pressure Sensor Circuit Range/Performance ;common;common;ESOBD
P0192; Fuel Rail Pressure Sensor Circuit Low Input ;common;common;ESOBD
P0193; Fuel Rail Pressure Sensor Circuit High Input ;common;common;ESOBD
P0194; Fuel Rail Pressure Sensor Circuit Intermittent ;common;common;ESOBD
P0195; Engine Oil Temperature Sensor Malfunction ;common;common;ESOBD
P0196; Engine Oil Temperature Sensor Range/Performance ;common;common;ESOBD
P0197; Engine Oil Temperature Sensor Low ;common;common;ESOBD
P0198; Engine Oil Temperature Sensor High ;common;common;ESOBD
P0199; Engine Oil Temperature Sensor Intermittent;common;common;ESOBD
P0200; Injector Circuit Malfunction ;common;common;ESOBD
P0201; Injector Circuit Malfunction - Cylinder 1 ;common;common;ESOBD
P0202; Injector Circuit Malfunction - Cylinder 2 ;common;common;ESOBD
P0203; Injector Circuit Malfunction - Cylinder 3 ;common;common;ESOBD
P0204; Injector Circuit Malfunction - Cylinder 4 ;common;common;ESOBD
P0205; Injector Circuit Malfunction - Cylinder 5 ;common;common;ESOBD
P0206; Injector Circuit Malfunction - Cylinder 6 ;common;common;ESOBD
P0207; Injector Circuit Malfunction - Cylinder 7 ;common;common;ESOBD
P0208; Injector Circuit Malfunction - Cylinder 8 ;common;common;ESOBD
P0209; Injector Circuit Malfunction - Cylinder 9 ;common;common;ESOBD
P0210; Injector Circuit Malfunction - Cylinder 10 ;common;common;ESOBD
P0211; Injector Circuit Malfunction - Cylinder 11 ;common;common;ESOBD
P0212; Injector Circuit Malfunction - Cylinder 12 ;common;common;ESOBD
P0213; Cold Start Injector 1 Malfunction ;common;common;ESOBD
P0214; Cold Start Injector 2 Malfunction ;common;common;ESOBD
P0215; Engine Shutoff Solenoid Malfunction ;common;common;ESOBD
P0216; Injection Timing Control Circuit Malfunction ;common;common;ESOBD
P0217; Engine Overtemp Condition ;common;common;ESOBD
P0218; Transmission Over Temperature Condition ;common;common;ESOBD
P0219; Engine Overspeed Condition ;common;common;ESOBD
P0220; Throttle/Petal Position Sensor/Switch B Circuit Malfunction ;common;common;ESOBD
P0221; Throttle/Petal Position Sensor/Switch B Circuit Range/Performance Problem ;common;common;ESOBD
P0222; Throttle/Petal Position Sensor/Switch B Circuit Low Input ;common;common;ESOBD
P0223; Throttle/Petal Position Sensor/Switch B Circuit High Input ;common;common;ESOBD
P0224; Throttle/Petal Position Sensor/Switch B Circuit Intermittent ;common;common;ESOBD
P0225; Throttle/Petal Position Sensor/Switch C Circuit Malfunction ;common;common;ESOBD
P0226; Throttle/Petal Position Sensor/Switch C Circuit Range/Performance Problem ;common;common;ESOBD
P0227; Throttle/Petal Position Sensor/Switch C Circuit Low Input ;common;common;ESOBD
P0228; Throttle/Petal Position Sensor/Switch C Circuit High Input ;common;common;ESOBD
P0229; Throttle/Petal Position Sensor/Switch C Circuit Intermittent ;common;common;ESOBD
P0230; Fuel Pump Primary Circuit Malfunction ;common;common;ESOBD
P0231; Fuel Pump Secondary Circuit Low ;common;common;ESOBD
P0232; Fuel Pump Secondary Circuit High ;common;common;ESOBD
P0233; Fuel Pump Secondary Circuit Intermittent ;common;common;ESOBD
P0234; Engine Turbocharger/Supercharger Overboost Condition ;common;common;ESOBD
P0235; Turbocharger Boost Sensor A Circuit Malfunction ;common;common;ESOBD
P0236; Turbocharger Boost Sensor A Circuit Range/Performance ;common;common;ESOBD
P0237; Turbocharger Boost Sensor A Circuit Low ;common;common;ESOBD
P0238; Turbocharger Boost Sensor A Circuit High ;common;common;ESOBD
P0239; Turbocharger Boost Sensor B Malfunction ;common;common;ESOBD
P0240; Turbocharger Boost Sensor B Circuit Range/Performance ;common;common;ESOBD
P0241; Turbocharger Boost Sensor B Circuit Low ;common;common;ESOBD
P0242; Turbocharger Boost Sensor B Circuit High ;common;common;ESOBD
P0243; Turbocharger Wastegate Solenoid A Malfunction ;common;common;ESOBD
P0244; Turbocharger Wastegate Solenoid A Range/Performance ;common;common;ESOBD
P0245; Turbocharger Wastegate Solenoid A Low ;common;common;ESOBD
P0246; Turbocharger Wastegate Solenoid A High ;common;common;ESOBD
P0247; Turbocharger Wastegate Solenoid B Malfunction ;common;common;ESOBD
P0248; Turbocharger Wastegate Solenoid B Range/Performance ;common;common;ESOBD
P0249; Turbocharger Wastegate Solenoid B Low ;common;common;ESOBD
P0250; Turbocharger Wastegate Solenoid B High ;common;common;ESOBD
P0251;" Injection Pump Fuel Metering Control ""A"" Malfunction (Cam/Rotor/Injector) ";common;common;ESOBD
P0252;" Injection Pump Fuel Metering Control ""A"" Range/Performance (Cam/Rotor/Injector) ";common;common;ESOBD
P0253;" Injection Pump Fuel Metering Control ""A"" Low (Cam/Rotor/Injector) ";common;common;ESOBD
P0254;" Injection Pump Fuel Metering Control ""A"" High (Cam/Rotor/Injector) ";common;common;ESOBD
P0255;" Injection Pump Fuel Metering Control ""A"" Intermittent (Cam/Rotor/Injector) ";common;common;ESOBD
P0256;" Injection Pump Fuel Metering Control ""B"" Malfunction (Cam/Rotor/Injector) ";common;common;ESOBD
P0257;" Injection Pump Fuel Metering Control ""B"" Range/Performance Injector) ";common;common;ESOBD
P0258;" Injection Pump Fuel Metering Control ""B"" Low (Cam/R ";common;common;ESOBD
P0259;" Injection Pump Fuel Metering Control ""B"" High (Cam/R ";common;common;ESOBD
P0260;" Injection Pump Fuel Metering Control ""B"" Intermittent Injector) ";common;common;ESOBD
P0261; Cylinder I Injector Circuit Low ;common;common;ESOBD
P0262; Cylinder I Injector Circuit High ;common;common;ESOBD
P0263; Cylinder I Contribution/Balance Fault ;common;common;ESOBD
P0264; Cylinder 2 Injector Circuit Low ;common;common;ESOBD
P0265; Cylinder 2 Injector Circuit High ;common;common;ESOBD
P0266; Cylinder 2 Contribution/Balance Fault ;common;common;ESOBD
P0267; Cylinder 3 Injector Circuit Low ;common;common;ESOBD
P0268; Cylinder 3 Injector Circuit High ;common;common;ESOBD
P0269; Cylinder 3 Contribution/Balance Fault ;common;common;ESOBD
P0270; Cylinder 4 Injector Circuit Low ;common;common;ESOBD
P0271; Cylinder 4 Injector Circuit High ;common;common;ESOBD
P0272; Cylinder 4 Contribution/Balance Fault ;common;common;ESOBD
P0273; Cylinder 5 Injector Circuit Low ;common;common;ESOBD
P0274; Cylinder 5 Injector Circuit High ;common;common;ESOBD
P0275; Cylinder S Contribution/Balance Fault ;common;common;ESOBD
P0276; Cylinder 6 Injector Circuit Low ;common;common;ESOBD
P0277; Cylinder 6 Injector Circuit High ;common;common;ESOBD
P0278; Cylinder 6 Contribution/Balance Fault ;common;common;ESOBD
P0279; Cylinder 7 Injector Circuit Low ;common;common;ESOBD
P0280; Cylinder 7 Injector Circuit High ;common;common;ESOBD
P0281; Cylinder 7 Contribution/Balance Fault ;common;common;ESOBD
P0282; Cylinder 8 Injector Circuit Low ;common;common;ESOBD
P0283; Cylinder 8 Injector Circuit High ;common;common;ESOBD
P0284; Cylinder 8 Contribution/Balance Fault ;common;common;ESOBD
P0285; Cylinder 9 Injector Circuit Low ;common;common;ESOBD
P0286; Cylinder 9 Injector Circuit High ;common;common;ESOBD
P0287; Cylinder 9 Contribution/Balance Fault ;common;common;ESOBD
P0288; Cylinder 10 Injector Circuit Low ;common;common;ESOBD
P0289; Cylinder 10 Injector Circuit High ;common;common;ESOBD
P0290; Cylinder 10 Contribution/Balance Fault ;common;common;ESOBD
P0291; Cylinder 11 Injector Circuit Low ;common;common;ESOBD
P0292; Cylinder 11 Injector Circuit High ;common;common;ESOBD
P0293; Cylinder 11 Contribution/Balance Fault ;common;common;ESOBD
P0294; Cylinder 12 Injector Circuit Low ;common;common;ESOBD
P0295; Cylinder 12 Injector Circuit High ;common;common;ESOBD
P0296; Cylinder 12 Contribution/Range Fault ;common;common;ESOBD
P0297; Vehicle Overspeed Condition ;common;common;ESOBD
P0298; Engine Oil Over Temperature Condition ;common;common;ESOBD
P0299;" Turbocharger/Supercharger ""A"" Underboost Condition ";common;common;ESOBD
P0300; Random/Multiple Cylinder Misfire Detected ;common;common;ESOBD
P0301; Cylinder 1 Misfire Detected ;common;common;ESOBD
P0302; Cylinder 2 Misfire Detected ;common;common;ESOBD
P0303; Cylinder 3 Misfire Detected ;common;common;ESOBD
P0304; Cylinder 4 Misfire Detected ;common;common;ESOBD
P0305; Cylinder 5 Misfire Detected ;common;common;ESOBD
P0306; Cylinder 6 Misfire Detected ;common;common;ESOBD
P0307; Cylinder 7 Misfire Detected ;common;common;ESOBD
P0308; Cylinder 8 Misfire Detected ;common;common;ESOBD
P0309; Cylinder 9 Misfire Detected ;common;common;ESOBD
P0310; Cylinder 10 Misfire Detected ;common;common;ESOBD
P0311; Cylinder 11 Misfire Detected ;common;common;ESOBD
P0312; Cylinder 12 Misfire Detected ;common;common;ESOBD
P0313; Misfire Detected with Low Fuel ;common;common;ESOBD
P0314; Single Cylinder Misfire (Cylinder not Specified) ;common;common;ESOBD
P0315; Crankshaft Position System Variation Not Learned ;common;common;ESOBD
P0316; Misfire Detected On Startup (First 1000 Revolutions) ;common;common;ESOBD
P0317; Rough Road Hardware Not Present ;common;common;ESOBD
P0318; Rough Road Sensor A Signal Circuit ;common;common;ESOBD
P0319; Rough Road Sensor B Signal Circuit ;common;common;ESOBD
P0320; Ignition/Distributor Engine Speed Input Circuit Malfunction ;common;common;ESOBD
P0321; Ignition/Distributor Engine Speed Input Circuit Range/Performance ;common;common;ESOBD
P0322; Ignition/Distributor Engine Speed Input Circuit No Signal ;common;common;ESOBD
P0323; Ignition/Distributor Engine Speed Input Circuit Intermittent ;common;common;ESOBD
P0324; Knock Control System Error ;common;common;ESOBD
P0325; Knock Sensor 1 Circuit Malfunction (Bank I or Single Sensor) ;common;common;ESOBD
P0326; Knock Sensor 1 Circuit Range/Performance (Bank 1 or Single Sensor) ;common;common;ESOBD
P0327; Knock Sensor 1 Circuit Low Input (Bank I or Single Sensor) ;common;common;ESOBD
P0328; Knock Sensor 1 Circuit High Input (Bank I or Single Sensor) ;common;common;ESOBD
P0329; Knock Sensor 1 Circuit Intermittent (Bank 1 or Single Sensor) ;common;common;ESOBD
P0330; Knock Sensor 2 Circuit Malfunction (Bank 2) ;common;common;ESOBD
P0331; Knock Sensor 2 Circuit Range/Performance (Bank 2) ;common;common;ESOBD
P0332; Knock Sensor 2 Circuit Low Input (Bank 2) ;common;common;ESOBD
P0333; Knock Sensor 2 Circuit High Input (Bank 2) ;common;common;ESOBD
P0334; Knock Sensor 2 Circuit Intermittent (Bank 2) ;common;common;ESOBD
P0335; Crankshaft Position Sensor A Circuit Malfunction ;common;common;ESOBD
P0336; Crankshaft Position Sensor A Circuit Range/Performance ;common;common;ESOBD
P0337; Crankshaft Position Sensor A Circuit Low Input ;common;common;ESOBD
P0338; Crankshaft Position Sensor A Circuit High Input ;common;common;ESOBD
P0339; Crankshaft Position Sensor A Circuit Intermittent ;common;common;ESOBD
P0340; Camshaft Position Sensor Circuit Malfunction ;common;common;ESOBD
P0341; Camshaft Position Sensor Circuit Range/Performance ;common;common;ESOBD
P0342; Camshaft Position Sensor Circuit Low Input ;common;common;ESOBD
P0343; Camshaft Position Sensor Circuit High Input ;common;common;ESOBD
P0344; Camshaft Position Sensor Circuit Intermittent ;common;common;ESOBD
P0345; Camshaft Position Sensor A Circuit Malfunction (Bank 2) ;common;common;ESOBD
P0346; Camshaft Position Sensor A Circuit Range/Performance (Bank 2) ;common;common;ESOBD
P0347; Camshaft Position Sensor A Circuit Low Input (Bank 2) ;common;common;ESOBD
P0348; Camshaft Position Sensor A Circuit High Input (Bank 2) ;common;common;ESOBD
P0349; Camshaft Position Sensor A Circuit Intermittent (Bank 2) ;common;common;ESOBD
P0350; Ignition Coil Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0351; Ignition Coil A Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0352; Ignition Coil B Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0353; Ignition Coil C Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0354; Ignition Coil D Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0355; Ignition Coil E Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0356; Ignition Coil F Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0357; Ignition Coil G Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0358; Ignition Coil H Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0359; Ignition Coil I Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0360; Ignition Coil J Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0361; Ignition Coil K Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0362; Ignition Coil L Primary/Secondary Circuit Malfunction ;common;common;ESOBD
P0363; Misfire Detected - Fueling Disabled ;common;common;ESOBD
P0364; Reserved ;common;common;ESOBD
P0365;" Camshaft Position Sensor ""B"" Circuit (Bank 1) ";common;common;ESOBD
